abbrev,bibtype,doi,url,year,month,conference,location,country,city,author,title,presentation,papers,
mascot_num_2019,poster,,https://www.ifpenergiesnouvelles.com/article/mascot-num-2019-annual-conference,2019,mar,MASCOT-NUM,IFPEN,France,Paris,Steven Golovkine,Clustering multivariate functional data defined on random domains: An application to vehicle trajectories analysis,presentation_mascot_num_2019.pdf,paper_mascot_num_2019.pdf
sfds_2019,presentation,,http://jds2019.sfds.asso.fr/index.html,2019,jun,51èmes Journées de Statistique,Université de Lorraine,France,Nancy,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Données fonctionnelles avec erreur hétéroscédastique,presentation_sfds_2019.pdf,paper_sfds_2019.pdf
stat_mod_2020,presentation,,https://ismma.ro/?page_id=645,2020,nov,Statistical Modeling with Applications,Virtual Conference,,,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Multivariate functional data clustering using unsupervised binary trees,presentation_stat_mod_2020.pdf,paper_stat_mod_2020.pdf
cfe_cmstat_2020,presentation,,http://www.cmstatistics.org/CMStatistics2020/,2020,dec,13th International Conference of the ERCIM WG on Computational and Methodological Statistics,Virtual Conference,,,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Multivariate functional data clustering using unsupervised binary trees,presentation_cfe_cmstat_2020.pdf,
hunter_2021,presentation,,,2021,mar,"Mathematics Seminars, Hunter College",Virtual Conference,,,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Multivariate functional data clustering using unsupervised binary trees,presentation_hunter_2021.pdf,paper_hunter_2021.pdf
sfds_2021,presentation,,https://jds2021.sciencesconf.org,2021,jun,52èmes Journées de Statistique,Virtual Conference,,,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Classification de données fonctionnelles multivariées par arbres binaires non-supervisées,presentation_sfds_2021.pdf,paper_sfds_2021.pdf
eysm_2021,presentation,,https://www.eysm2021.panteion.gr,2021,sep,22nd European Young Statisticians Meeting,Virtual Conference,,,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Clustering multivariate functional data using unsupervised binary trees,presentation_eysm_2021.pdf,paper_eysm_2021.pdf
cfe_cmstat_2021,presentation,,http://www.cmstatistics.org/CMStatistics2021/,2021,dec,14th International Conference of the ERCIM WG on Computational and Methodological Statistics,Virtual Conference,,,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Adaptive optimal estimation of irregular mean and covariance functions,presentation_cfe_cmstat_2021.pdf,paper_cfe_cmstat_2021.pdf
ysp_2022,presentation,,https://www.sfds.asso.fr/fr/jeunes_statisticiens/manifestations/journees_ysp/564-accueil_ysp/,2022,feb,10ème Journées YSP (Young Statisticians and Probabilists),Virtual Conference,,,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Multivariate functional data clustering using unsupervised binary trees,presentation_ysp_2022.pdf,
simtalk_2022_02,presentation,,,2022,feb,SIM Talk,University of Limerick,Ireland,Limerick,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Multivariate functional data clustering using unsupervised binary trees,presentation_simtalk_2022_02.pdf,
sfds_2022,presentation,,https://jds22.sciencesconf.org,2022,jun,53èmes Journées de Statistique,Université Claude Bernard,France,Lyon,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Learning the regularity of the curves in functional data analysis with applications,presentation_sfds_2022.html,paper_sfds_2022.pdf
sds_2022,presentation,,http://www.compstat2022.org/SatelliteWorkshop.php,2022,aug,CSDA & EcoSta Workshop on Statistical Data Science,University of Bologna,Italy,Bologna,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Learning the regularity of the curves in functional data analysis with applications,presentation_sds_2022.html
simtalk_2022_10,presentation,,,2022,oct,SIM Talk,University of Limerick,Ireland,Limerick,Juliana Antero and Tom Chassard and Steven Golovkine and Alice Meignié,On the influence of the menstrual cycle on female athlete performance: A case study of cycling,presentation_simtalk_2022_10.html
casi_2023,presentation,,https://casi.ie,2023,may,43rd Conference on Applied Statistics in Ireland,University of Limerick,Ireland,Limerick,Steven Golovkine and Edward Gunning and Andrew J. Simpkin and Norma Bargary,On the geometric interpretation of multivariate functional principal components analysis and the usage of the Gram matrix,presentation_casi_2023.html
sfds_2023,presentation,,https://jds2023.sciencesconf.org,2023,jun,54èmes Journées de Statistique,Université libre de Bruxelles,Belgium,Brussels,Steven Golovkine and Edward Gunning and Andrew J. Simpkin and Norma Bargary,On the geometric interpretation of multivariate functional principal components analysis and the usage of the Gram matrix,presentation_sfds_2023.html,paper_sfds_2023.pdf
iwsm_2023,presentation,,https://iwsm2023.statistik.tu-dortmund.de,2023,jul,37th International Workshop on Statistical Modeling,University of Dortmund,Germany,Dortmund,Steven Golovkine and Tom Chassard and Alice Meignié and Emmanuel Brunet and Jean-François Toussaint and Juliana Antero,Functional multilevel modeling of the influence of the menstrual cycle on the performance of female cyclists,presentation_iwsm_2023.html,paper_iwsm_2023.pdf
nshpc_2023,presentation,,https://www.ul.ie/shprc/nshpconference2023,2023,sep,National Sport and Human Performance Conference 2023,University of Limerick,Limerick,Ireland,Steven Golovkine and Tom Chassard and Alice Meignié and Emmanuel Brunet and Jean-François Toussaint and Juliana Antero,On the influence of the menstrual cycle on the performance of female cyclists: a functional multilevel modelling approach,presentation_nshpc_2023.pdf,paper_nshpc_2023.pdf
